"ville_ID","ville_nom","ville_insee","ville_zip","ville_lambertX","ville_lambertY","departement_ID","region_ID","zone_ID","pays_ID","ville_longitude","ville_latitude","canton_ID","arrondissement_ID","admin_ID","territoire_sante","secteur_apa_ID","secteur_Smur_ID","secteur_Adps_ID","secteur_Vsav_ID","zone_proximite"
"341","GUNGWILLER","67178",,"953","24423","67","42","1","1","7.157929","48.881569","6","4","0","1","1","4","10","0","9"
"342","HAEGEN","67179",,"968","24244","67","42","1","1","7.339208","48.714543","13","4","0","1","5","4","31","0","9"
"343","HANDSCHUHEIM","67181",,"986","24133","67","42","1","1","7.578148","48.603174","31","6","0","2","6","3","73","0","10"
"344","HANGENBIETEN","67182",,"989","24086","67","42","1","1","7.613234","48.559537","43","6","0","2","6","3","11","0","10"
"345","HARSKIRCHEN","67183",,"944","24475","67","42","1","1","7.040054","48.934080","20","4","0","1","1","4","30","0","9"
"346","HATTEN","67184",,"1013","24485","67","42","1","1","7.980372","48.901329","26","7","0","1","3","6","16","0","12"
"347","HATTMATT","67185",,"973","24336","67","42","1","1","7.422372","48.791074","21","4","0","1","5","4","7","0","9"
"348","HEGENEY","67186",,"996","24460","67","42","1","1","7.740545","48.890541","35","7","0","1","4","2","23","0","4"
"349","HEIDOLSHEIM","67187",,"984","23685","67","42","1","1","7.516720","48.200982","12","5","0","3","9","5","24","0","7"
"350","HEILIGENBERG","67188",,"973","24054","67","42","1","1","7.391514","48.537679","14","3","0","2","7","3","26","0","5"
"351","HEILIGENSTEIN","67189",,"978","23928","67","42","1","1","7.451059","48.420502","1","5","0","3","8","5","1","0","7"
"352","HENGWILLER","67190",,"967","24194","67","42","1","1","7.332953","48.667372","13","4","0","1","5","4","7","0","9"
"353","HERBITZHEIM","67191",,"947","24567","67","42","1","1","7.082807","49.014948","20","4","0","1","1","10","0","0","9"
"354","HERBSHEIM","67192",,"992","23856","67","42","1","1","7.631970","48.349797","2","5","0","3","8","5","2","0","7"
"355","HERRLISHEIM","67194",,"1009","24293","67","42","1","1","7.906799","48.730064","3","2","0","1","4","2","17","0","4"
"356","HESSENHEIM","67195",,"987","23695","67","42","1","1","7.551086","48.209419","12","5","0","3","9","5","24","0","7"
"357","HILSENHEIM","67196",,"987","23784","67","42","1","1","7.567212","48.289771","12","5","0","3","9","5","35","0","7"
"358","HINDISHEIM","67197",,"991","23989","67","42","1","1","7.638570","48.468596","7","5","0","2","8","3","12","0","7"
"359","HINSBOURG","67198",,"962","24457","67","42","1","1","7.288919","48.906427","17","4","0","1","2","4","21","0","9"
"360","HINSINGEN","67199",,"940","24494","67","42","1","1","6.993446","48.953229","20","4","0","1","1","4","30","0","9"
"361","HIPSHEIM","67200",,"994","23987","67","42","1","1","7.675081","48.466648","7","5","0","2","8","3","73","0","7"
"362","HIRSCHLAND","67201",,"950","24372","67","42","1","1","7.114093","48.837176","6","4","0","1","1","1","10","0","9"
"363","HOCHFELDEN","67202",,"984","24305","67","42","1","1","7.566331","48.757098","10","6","0","1","5","4","18","0","9"
"364","HOCHSTETT","67203",,"992","24331","67","42","1","1","7.678641","48.779203","9","2","0","1","4","2","73","0","4"
"365","HOENHEIM","67204",,"999","24165","67","42","1","1","7.755302","48.621411","44","6","0","2","6","3","71","0","10"
"366","HOFFEN","67206",,"1010","24515","67","42","1","1","7.942234","48.928197","26","7","0","1","3","6","16","0","12"
"367","HOHATZENHEIM","67207",,"988","24260","67","42","1","1","7.615773","48.712187","10","6","0","1","5","3","73","0","9"
"368","HOHENGOEFT","67208",,"978","24193","67","42","1","1","7.473322","48.661758","13","4","0","1","5","4","38","0","9"
"369","HOHFRANKENHEIM","67209",,"985","24273","67","42","1","1","7.576206","48.729368","10","6","0","1","5","4","18","0","9"
"370","LE HOHWALD","67210",,"969","23900","67","42","1","1","7.330123","48.403557","1","5","0","3","8","5","1","0","7"
"371","HOLTZHEIM","67212",,"991","24086","67","42","1","1","7.643048","48.558437","8","6","0","2","6","3","65","0","10"
"372","HUNSPACH","67213",,"1010","24539","67","42","1","1","7.940733","48.952901","26","7","0","1","3","6","16","0","12"
"373","HURTIGHEIM","67214",,"987","24149","67","42","1","1","7.591220","48.617198","31","6","0","2","6","3","73","0","10"
"374","HUTTENDORF","67215",,"989","24356","67","42","1","1","7.643578","48.801846","9","2","0","1","4","2","73","0","4"
"375","HUTTENHEIM","67216",,"988","23862","67","42","1","1","7.578472","48.357933","2","5","0","3","8","5","2","0","7"
"376","ICHTRATZHEIM","67217",,"994","23999","67","42","1","1","7.679435","48.476809","7","5","0","2","6","3","73","0","7"
"377","ILLKIRCH-GRAFFENSTADEN","67218","67400","997","24058","67","42","1","1","7.711079","48.529343","42","6","0","2","6","3","65","0","10"
