"Département - commune","Libellé de la commune","Région","Département","Code géographique du bassin de vie 2012","Libellé du bassin de vie 2012",,
"COM","LIB_COM","REG","DEP","BV","LIBBV",,
"01203","Laiz","82","01","01134","Crottet - Pont-de-Veyle",,
"01204","Lalleyriat","82","01","01269","Nantua",,
"01205","Lancrans","82","01","01033","Bellegarde-sur-Valserine",,
"01206","Lantenay","82","01","01185","Hauteville-Lompnes",,
"01207","Lapeyrouse","82","01","01443","Villars-les-Dombes",,
"01208","Lavours","82","01","01034","Belley",,
"01209","Léaz","82","01","01033","Bellegarde-sur-Valserine",,
"01210","Lélex","82","01","01173","Gex",,
"01211","Lent","82","01","01053","Bourg-en-Bresse",,
"01212","Lescheroux","82","01","01266","Montrevel-en-Bresse",,
"01213","Leyment","82","01","01202","Lagnieu",,
"01214","Leyssard","82","01","01269","Nantua",,
"01215","Lhôpital","82","01","74269","Seyssel",,
"01216","Lhuis","82","01","38261","Morestel",,
"01218","Lochieu","82","01","01034","Belley",,
"01219","Lompnas","82","01","38247","Montalieu-Vercieu",,
"01221","Lompnieu","82","01","01185","Hauteville-Lompnes",,
"01224","Loyettes","82","01","38085","Charvieu-Chavagneux",,
"01225","Lurcy","82","01","69019","Belleville",,
"01227","Magnieu","82","01","01034","Belley",,
"01228","Maillat","82","01","01269","Nantua",,
"01229","Malafretaz","82","01","01266","Montrevel-en-Bresse",,
"01230","Mantenay-Montlin","82","01","01266","Montrevel-en-Bresse",,
"01231","Manziat","82","01","01305","Pont-de-Vaux",,
"01232","Marboz","82","01","01266","Montrevel-en-Bresse",,
"01233","Marchamp","82","01","01034","Belley",,
"01234","Marignieu","82","01","01034","Belley",,
"01235","Marlieux","82","01","01443","Villars-les-Dombes",,
"01236","Marsonnas","82","01","01266","Montrevel-en-Bresse",,
"01237","Martignat","82","01","01283","Oyonnax",,
"01238","Massieux","82","01","69123","Lyon",,
"01239","Massignieu-de-Rives","82","01","73330","Yenne",,
"01240","Matafelon-Granges","82","01","01283","Oyonnax",,
"01241","Meillonnas","82","01","01053","Bourg-en-Bresse",,
"01242","Mérignat","82","01","01004","Ambérieu-en-Bugey",,
"01243","Messimy-sur-Saône","82","01","69123","Lyon",,
"01244","Meximieux","82","01","01244","Meximieux",,
"01245","Bohas-Meyriat-Rignat","82","01","01053","Bourg-en-Bresse",,
"01246","Mézériat","82","01","01457","Vonnas",,
"01247","Mijoux","82","01","01173","Gex",,
"01248","Mionnay","82","01","01333","Saint-André-de-Corcy",,
"01249","Miribel","82","01","69123","Lyon",,
"01250","Misérieux","82","01","69123","Lyon",,
"01252","Mogneneins","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01254","Montagnat","82","01","01053","Bourg-en-Bresse",,
"01255","Montagnieu","82","01","38247","Montalieu-Vercieu",,
"01257","Montanges","82","01","01033","Bellegarde-sur-Valserine",,
"01258","Montceaux","82","01","69019","Belleville",,
"01259","Montcet","82","01","01053","Bourg-en-Bresse",,
